"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"China","CHN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","52661","55360","59657","66290","73021","100432","125442","155602","180772","126440","151281","191220","235524","282282","346786","398946","469106","559638","669675","747900","796867","817857","847916","862078","861364","876470","891170","880859","858031","824113","795713","770629","734325","705723","685202","684290","703117","738526","798506","989139","","","","","","","","","","","","","","",
"China","CHN","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.872893640655","111.061554054054","98.8033820005435","115.865812772134","111.096168808462","103.251221581707","98.8039009747297","97.5772602389143","96.6446126849769","93.9437106491061","95.0025635521332","","",
"China","CHN","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383.287589519651","382.600590868397","358.374740143369","426.716498886414","467.64639374425","478.962510946214","533.378944837027","601.709831043446","579.931673195299","558.340668419076","647.622035498489","","",
"China","CHN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3423500","3451000","3479500","3508000","3546000","3582000","3618000","3654000","3700000","3746000","3792500","3838700","3894800","3961000","4007100","4066600","4126000","4184700","4231900","4276040","4329090","4425180","4529280","4645370","4763470","4824560","4877660","4933750","4994850","5056940","5113790","5143140","5182230","5228330","5228330","5228720","5233330","5236830","5231330","5220030","5199150","5231970","5213340","5272502","5237122","5237082","5154000","5153770","5171540","5188014","5191482","5145530","","",
"China","CHN","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","36.4657950097196","36.7587143503848","37.0622853034378","37.3658562564908","37.7706175272282","38.1540755731899","38.5375336191516","38.9209916651133","39.4109658349533","39.9009400047932","40.3962399808271","40.8883444731446","41.4858999281016","42.1910366681756","42.6820759992544","43.31584693633","43.9485527121668","44.5738023593321","45.0765584640375","45.5467206348361","46.1117886720102","47.1353021063563","48.2441349559289","49.4806806380316","50.7386360610337","51.389343061806","51.9549436795995","52.5523926184326","53.2032061353287","53.8645647484888","54.4701089127367","54.7827337363193","55.1991052645594","55.6901445956382","55.6902039146848","55.6944173715386","55.7435214092539","55.7808021320313","55.7222181390954","55.6019138878296","55.3795417237072","56.0919570297981","55.8922247760838","56.5264945931852","56.1471856088156","56.1467531571145","55.256027527751","55.2535616980398","55.4440720624773","55.6206885974905","55.6578678257266","54.8084187711588","","",
"China","CHN","Arable land (hectares)","AG.LND.ARBL.HA","","102600000","102300000","102100000","101900000","101650000","101200000","100720000","100240000","99760000","99280000","98850000","98390000","97920000","98460000","96990000","96860000","96720000","96430000","96452000","96175000","96790000","101700000","107300000","114000000","120100000","120500000","120200000","120900000","122200000","123800000","124875000","122900000","121300000","120700000","119580000","119339000","119500000","119850000","119300000","118170000","116082000","118932000","116664000","122180200","118347200","118143200","109335000","108617000","109999000","111351700","111598500","105920000","","",
"China","CHN","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.155376857026032","0.153656668218754","0.149633244667209","0.145914327240444","0.142131056999238","0.137612183845526","0.133483533231728","0.129423764702844","0.125322697151471","0.121322473619572","0.117523971442329","0.114137559017668","0.111027961085788","0.109357472094186","0.105838639451328","0.104073881066096","0.102516813202537","0.100850794580433","0.0995371540910522","0.0980142371603133","0.0973855124083772","0.100829838493799","0.104855811044552","0.109951052491983","0.114267772872583","0.112955689498402","0.110882028716785","0.109746466599493","0.10923881464265","0.109057114038681","0.108513356158432","0.105496278874134","0.102932690675809","0.101272407673881","0.0992484572832416","0.0980156872407704","0.0971485478527732","0.0965026350010266","0.0952316331865877","0.0935892511355132","0.0912701969571884","0.0928865979381443","0.0905495187829866","0.0942693902744826","0.0907765471113429","0.0901154826013333","0.082962473963965","0.08199644435721","0.0826277361296817","0.0832408490661244","0.0830265673707156","0.0784188880539278","","",
"China","CHN","Arable land (% of land area)","AG.LND.ARBL.ZS","","10.9285543099087","10.8965994727452","10.8752962479695","10.8539930231939","10.8273639922243","10.7794317364791","10.7283039970176","10.677176257556","10.6260485180944","10.5749207786329","10.5291188453652","10.4801214283812","10.4300588501584","10.4875775570527","10.3309988549517","10.3171517588475","10.3022395015045","10.2713498255798","10.2736931803052","10.2441882139909","10.309695630176","10.8326897984182","11.4291800921364","12.1428381221207","12.7925864777781","12.8351929273294","12.8032380901659","12.8777993768807","13.0162703379224","13.1866961361276","13.3012009692967","13.0908316246372","12.920405826432","12.856496152105","12.7372116605455","12.7115547872176","12.7287039196952","12.7659846424725","12.7074006495367","12.5870505804082","12.3646518418806","12.7507012338908","12.5075489250213","13.0989393928998","12.6880034581658","12.6661318031522","11.7218039770017","11.6448272060181","11.7929910293654","11.9380137187394","11.9644728856796","11.2822347090409","","",
"China","CHN","Land under cereal production (hectares)","AG.LND.CREL.HA","","89712000","88910008","90371008","92086008","91089016","92863000","91965000","89643008","91280008","92886508","96197008","96529000","96185008","96848008","97239491","97788749","96433874","96648324","95472504","94370308","91944016","90301916","92104816","91739562","88145866","89761952","89694400","88790680","90871369","93020205","93608376","92081747","88812850","87436560","89309000","92208130","91959386","92118640","91617160","85264010","82595600","81466293","76810000","79351255","81873900","83143180","85777000","86249000","88401090","89907000","91006790","92615100","92784000","",
"China","CHN","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.186403216786941","0.191729022980854","0.197054829174766","0.202380635368679","0.207706441562592","0.213032247756504","0.221553537666764","0.230074827577024","0.238596117487285","0.247117407397545","0.255638697307805","0.264159987218065","0.272681277128325","0.281202567038585","0.289723856948846","0.298245146859106","0.306766436769366","0.315287726679626","0.324661145580912","0.333395467738929","0.341916757649189","0.351503208798232","0.372806433573882","0.404761270737358","0.521929007003435","0.639096743269512","0.745612867147764","0.77756770431124","0.798870929086891","0.798870929086891","0.798870929086891","0.830825766250366","0.926690277740793","0.990599952067744","1.10989919303299","1.13972495347898","1.17167985871671","1.17167985871671","1.17167985871671","1.17168110674867","1.17168183060842","1.22551765550571","1.26893771066097","1.31182157511218","1.34344852547653","1.3648904379256","1.4184953438488","1.49300628512119","1.5353541807793","1.56698109245835","1.5777020567988","1.6829617485163","","",
